n,make_set_s,union_s,find_set_s
10000,0.0018493000025046058,0.015278400001989212,0.014130600000498816
50000,0.009357999995700084,0.08406660000036936,0.08349250000173924
100000,0.01908220000041183,0.17304629999853205,0.1449408000044059
200000,0.03684559999965131,0.4094991000019945,0.31662599999981467
